feature	Escherichia_coli	Akkermansia_muciniphila	Klebsiella_pneumoniae	Bifidobacterium_longum	Klebsiella_variicola	Bacteroides_uniformis	Blautia_wexlerae	Ruthenibacterium_lactatiformans	Bacteroides_fragilis	Klebsiella_quasipneumoniae	Fusicatenibacter_saccharivorans	Bacteroides_ovatus	Bacteroides_thetaiotaomicron	Ruminococcus_torques	Ruminococcus_gnavus	Eubacterium_rectale	Bifidobacterium_bifidum	Flavonifractor_plautii	Faecalibacterium_prausnitzii	Anaerostipes_hadrus	Parabacteroides_distasonis	Streptococcus_salivarius	Veillonella_atypica	Erysipelatoclostridium_ramosum	Streptococcus_parasanguinis	Haemophilus_parainfluenzae	Roseburia_intestinalis	Veillonella_parvula	Clostridium_innocuum	Intestinibacter_bartlettii	Eggerthella_lenta	Veillonella_infantium	Veillonella_dispar	Eubacterium_sp_CAG_38	Enterococcus_faecalis	Bifidobacterium_pseudocatenulatum	Klebsiella_oxytoca	Bifidobacterium_adolescentis	Bacteroides_vulgatus	Bifidobacterium_dentium	Lactobacillus_rhamnosus	Haemophilus_sp_HMSC71H05	Bifidobacterium_breve	Parabacteroides_merdae	Bacteroides_dorei	Collinsella_aerofaciens	Enterobacter_cloacae_complex	Bacteroides_caccae
G69147	0.324008948193234	0.00534693251739296	0	0	0	0	0	0.00105666452266618	0	0	0.0181242219413563	0	0	0	0.0553885239931857	0	0.283783585104201	0.00333211881089886	0	0	0	0.00066690383692741	0	0.000886838080689163	0.000435067740047125	0	0.266934561711258	0.00860413966454577	0.00535133320257964	0.00240827496841258	0.00169236350099711	0.000157224479851513	0.000124719418813509	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G69150	0.019886921602738	0	0	0.00586532434487611	0	0	0.00571732120720959	0.0099121101367349	0	0	0.00187553976144294	0	0	0	0.00816607312075016	0.038777122074988	0.0146748111059954	0.00817457330095398	0.17468510332419	0.0102634175844528	0	0.00057211212877713	0	0	0.000153603256389035	0	0.0321433814396865	0	0	0.00213234520571836	0.000682314465066659	0	0	0	0	0.0115220442673385	0	0	0	0	0	0	0	0	0	0	0	0
G69161	0.00920165516943317	0	0	0.319705194079031	0	0	0.000345752373070812	0	0	0	0	0	0	0	0	0	0.124083483591219	0	0	0	0	0.00150896500087589	0	0	0.000197386988445808	0	0	0	0	0	0	0	0.000225699465754558	0	0.00212783773809118	0	0	0	0	0.00288427109827301	0	0	0.422928784715424	0	0	0	0	0
G69179	0.00343774411818623	0	0	0.00264876514139065	0	0	0.00836423726014974	0.000666666733340007	0.000530053058311137	0	0	0	0	0	0.0155462561802436	0	0.00916721763848561	0.0252978323130145	0.125519764528429	0.0127990811880269	0.0683623430705414	0	0	0	0	0.00177127730485822	0.00179047922697062	0.00213251346459781	0	0	0.000890989188017721	0.000107010711772248	0.000506750725747647	0.0330867119798692	0	0.00380128050817887	0	0.0204464466893136	0.360000536053659	0	0	0.00117321743906565	0.00320672099277138	0	0.00081338141948009	0	0	0
G69187	0.1162932	0	0	0.2094408	0	0	0	0	0.0006565	0	0	0.5536159	0	0	0.0019483	0	0.018021	0	0	0	0	0	0	0	0.0002922	0	0	0.0887834	0	0	0.0003229	0	0	0	0.0006614	0	0	0	0.0002296	0	0	0	0.0040108	0	0	0	0	0
G69189	0.292437532166276	0.0381124744044951	0.0088132346737507	0.180542095642028	0.00233247383242793	0.0458750857350653	0	0	0	0.000653276694683956	0	0.00074458741456247	0	0	0	0	0.27959352427975	0	0	0	0	0	0	0	0	0	0	0	0.00057556757163291	0	0.00280322909909623	0	0	0	0.0324441089383894	0	0	0	0.00086430146899246	0.000531562405426397	0	0	0	0	0	0	0	0.0857299646978555
G69190	0.0221273959392848	0	0.00212598961540843	0.438658823126966	0.000407693891903305	0	0.000752173225493831	0	0	0	0	0	0	0.00206117468853077	0	0	0.345765829870619	0	0.00185752778864973	0	0	0	0	0	0	0	0.000720866015443356	0	0	0	0	0	0	0	0.00383438305841835	0	0	0	0.00705132391989875	0.159851013688452	0	0	0.00227122306267133	0	0	0.00021014839717587	0	0
G69203	0.000218016315788525	0.00448464966940198	0	0.000272670543713472	0	0.00731295591485872	0	0.00233231412207192	0.000193391883426736	0	0.000186585129765754	0.00109328475713603	0	0.0277430266310233	0.000200999431636069	0.00282510306726334	0.0886654738831869	0.000354451686963805	0.000996088318829943	0.000161660399448333	0	0.000183181752935262	0	0.000341638974190192	0	0	0	0	0.00153522324850717	0.000634329381612436	0.0027188976902883	0	0	0.000154553347831719	0	0.16230263667611	0	0	0.00165874580759029	0	0.00882505622078226	0	0	0	0	0.128107308071068	0	0.000893486517322487
G69205	0.0239790795815916	0	0	0.464283485669713	0	0	0	0	0	0	0	0.00271805436108722	0	0	0.000404808096161923	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0237816756335127	0	0	0	0.145980019600392	0.000106802136042721	0	0	0.00524110482209644	0.00850267005340107	0.0655655113102262	0	0	0	0	0.000209504190083802	0	0
G69210	0.0689484278332699	0	0	0.883643525695848	0	0	0	0	0	0	0	0.000116845464570264	0	0	0.000259500971828138	0	0.0323058702141003	0	0.000489890616438856	0	0	0	0	0	0.000741888668881062	0	0	0	0	0	0	0	0	0	0	0.00105270960930898	0	0	0.000727583102585216	0	0	0	0.000111143245836955	0	0	0	0	0
