feature	Escherichia_coli	Akkermansia_muciniphila	Klebsiella_pneumoniae	Bifidobacterium_longum	Klebsiella_variicola	Bacteroides_uniformis	Blautia_wexlerae	Ruthenibacterium_lactatiformans	Bacteroides_fragilis	Klebsiella_quasipneumoniae	Fusicatenibacter_saccharivorans	Bacteroides_ovatus	Bacteroides_thetaiotaomicron	Ruminococcus_torques	Ruminococcus_gnavus	Eubacterium_rectale	Bifidobacterium_bifidum	Flavonifractor_plautii	Faecalibacterium_prausnitzii	Anaerostipes_hadrus	Parabacteroides_distasonis	Streptococcus_salivarius	Veillonella_atypica	Erysipelatoclostridium_ramosum	Streptococcus_parasanguinis	Haemophilus_parainfluenzae	Roseburia_intestinalis	Veillonella_parvula	Clostridium_innocuum	Intestinibacter_bartlettii	Eggerthella_lenta	Veillonella_infantium	Veillonella_dispar	Eubacterium_sp_CAG_38	Enterococcus_faecalis	Bifidobacterium_pseudocatenulatum	Klebsiella_oxytoca	Bifidobacterium_adolescentis	Bacteroides_vulgatus	Bifidobacterium_dentium	Lactobacillus_rhamnosus	Haemophilus_sp_HMSC71H05	Bifidobacterium_breve	Parabacteroides_merdae	Bacteroides_dorei	Collinsella_aerofaciens	Enterobacter_cloacae_complex	Bacteroides_caccae
G69147	0.331195079364609	0.00546552108924796	0	0	0	0	0	0.0010801000787098	0	0	0.0185261955194811	0	0	0	0.0566169752474595	0	0.290077565805085	0.00340602122312312	0	0	0	0.000681694966856314	0	0.00090650708924939	0.000444717022469251	0	0.27285485121353	0.00879496919746775	0.00547001937637179	0.00246168762851427	0.00172989810050625	0.000160711530878543	0.000127485546441185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G69150	0.057609166713017	0	0	0.0169908875169179	0	0	0.0165621465784156	0.0287137655969001	0	0	0.00543313263622374	0	0	0	0.0236557812818659	0.11233099495708	0.0425105331219756	0.0236804049168474	0.506034239019597	0.0297314459461965	0	0.00165731547917014	0	0	0.00044496356860782	0	0.0931141308378293	0	0	0.00617705610248994	0.00197655366446039	0	0	0	0	0.0333774820624061	0	0	0	0	0	0	0	0	0	0	0	0
G69161	0.0104184342036733	0	0	0.361981346589644	0	0	0.000391472869095143	0	0	0	0	0	0	0	0	0	0.140491638270913	0	0	0	0	0.00170850268650522	0	0	0.000223488417455068	0	0	0	0	0	0	0	0.000255544789548218	0	0.00240921193656961	0	0	0	0	0.00326567211111486	0	0	0.478854688125482	0	0	0	0	0
G69179	0.00489660212223129	0	0	0.00377280814590376	0	0	0.0119137261270347	0.000949576707592767	0.000754988981434393	0	0	0	0	0	0.0221435419239683	0	0.0130574632085322	0.0360333448718442	0.178785949227703	0.01823056223887	0.0973729232461107	0	0	0	0	0.0025229452547518	0.0025502957989849	0.0030374773681369	0	0	0.00126909374256585	0.000152422303799019	0.000721797956401523	0.0471275518271446	0	0.00541441060289431	0	0.0291232013812025	0.51277213435385	0	0	0.00167108976249186	0.00456754088692687	0	0.00115855195962376	0	0	0
G69187	0.116962694463107	0	0	0.210646540799537	0	0	0	0	0.000660279439511765	0	0	0.55680304060442	0	0	0.00195951627113598	0	0.0181247460463694	0	0	0	0	0	0	0	0.000293882181607521	0	0	0.0892945218430295	0	0	0.000324758920058414	0	0	0	0.000665207648580475	0	0	0	0.000230921796362378	0	0	0	0.00403388998628148	0	0	0	0	0
G69189	0.300845248605648	0.0392082259491826	0.00906661931115217	0.185732765711919	0.00239953355092589	0.0471940160024462	0	0	0	0.000672058706570958	0	0.000765994652544517	0	0	0	0	0.287631969458162	0	0	0	0	0	0	0	0	0	0	0	0.0005921154097238	0	0.00288382325267566	0	0	0	0.033376892312881	0	0	0	0.00088915054228203	0.000546845074314857	0	0	0	0	0	0	0	0.0881947414595712
G69190	0.0224030528176049	0	0.00215247459639456	0.444123511432926	0.000412772827800716	0	0.000761543588091605	0	0	0	0	0	0	0.00208685222337815	0	0	0.35007328337999	0	0.00188066834766612	0	0	0	0	0	0	0	0.000729846361619175	0	0	0	0	0	0	0	0.00388215072466645	0	0	0	0.00713916733107631	0.161842392680837	0	0	0.0022995173211165	0	0	0.000212766366832508	0	0
G69203	0.000490590483535711	0.0100915678803338	0	0.000613575976653479	0	0.0164559545251003	0	0.005248282032315	0.000435179437185948	0	0.0004198625625852	0.00246016035866714	0	0.0624286526466208	0.000452298297033842	0.00635717870377795	0.19951918528643	0.000797603720018344	0.0022414443992947	0.000363775771767757	0	0.000412204125284826	0	0.000768771956063996	0	0	0	0	0.00345463096693627	0.00142739756389614	0.00611819041037511	0	0	0.000347783152699329	0	0.365220963935968	0	0	0.00373258719130866	0	0.0198585531680252	0	0	0	0	0.288273040408618	0	0.00201056503950402
G69205	0.0323703601406073	0	0	0.62675565120534	0	0	0	0	0	0	0	0.00366921500263446	0	0	0.000546467341084044	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0321038763137052	0	0	0	0.197064520000394	0.000144176660147668	0	0	0.00707518610331392	0.0114781091096025	0.0885096196746602	0	0	0	0	0.00028281844851064	0	0
G69210	0.0697578007086548	0	0	0.894016454037842	0	0	0	0	0	0	0	0.000118217091924315	0	0	0.000262547205866159	0	0.0326851028650641	0	0.000495641352014873	0	0	0	0	0	0.000750597563108494	0	0	0	0	0	0	0	0	0	0	0.00106506717321881	0	0	0.000736124066408856	0	0	0	0.000112447935897187	0	0	0	0	0
G69217	0.0352596978465684	0	0.00304635066330917	0.611779720456544	0.000207194094776255	0	0	0	0	0	0	0	0	0	0	0	0.159254267696904	0	0	0	0	0.00116069235688511	0	0	0	0	0	0	0	0	0.0202390861950906	0	0	0	0.165606441751893	0	0	0	0	0.00344654893802891	0	0	0	0	0	0	0	0
G69229	0.219395485466127	0	0	0.00201144312540172	0	0.000466552959871659	0	0	0.00735200285248097	0	0	0	0.198613560630141	0	0	0	0.565509443547245	0	0	0	0	0.000151851225315137	0	0	0	0.000964372402755891	0	0.000333746790984376	0	0	0	0	0.000551797410300076	0	0.000246669126568251	0	0	0	0.000132602478444204	0.000485088790191816	0	0.00080101266740681	0.00298437052676691	0	0	0	0	0
G69235	0.152073342032365	0	0	0.308727855375483	0	0.0058407303658754	0	0	0	0	0	0	0	0	0	0	0.524074573832818	0	0	0	0	0.000227580445077603	0	0	0	0	0	0	0	0	0	0	0	0	0.00106424673127439	0	0	0	0.000598764050787618	0	0.00728618185852152	0	0.000106725307797291	0	0	0	0	0
G78529	0.0743957634057195	0.000413135849517707	0	0.047458065796357	0	0.0288205967739214	0.00480107773155075	0	0.0170617786514896	0	0	0.0100540227985115	0	0	0.00280981173244818	0.000559725882737326	0.272030845308072	0.000573043007807902	0.00648645648380322	0.000557184446655155	0.000587783337084493	0	0.00157416550929667	0.000710788843461566	0	0.000359054089689109	0.00541712183786898	0.0102521531554775	0	0	0	0	0	0.000121277329841197	0	0.0286814277340617	0	0.00171516438313552	0.0340222048320223	0	0	0	0.43269677475496	0.000441599933638021	0.00116631584682988	0.0132582654109126	0	0.00297439513312957
G78531	0.000823470805999283	0	0	0.000983953211753993	0	0.000166706674885468	0.00262290701170142	0	0.00191531134935308	0	0.0307983060859036	0	0	0	0.0901078105656139	0.0467068118193891	0.000148033867493194	0.00412845397661293	0.0097065402337794	0.0124273757464714	0.522366599907922	0.0177156185377822	0.0147172843596773	0.0313073475629808	0	0	0.0782845001382825	0.00433935296232678	0	0.0014854218280554	0	0.00524622897467822	0.000837060460268104	0.018262628056557	0	0	0	0.0783548343794601	0.000321276024965958	0.0241886509581329	0	0.000717761968595243	0	0	0.000191500013589654	0	0.00112825251776873	0
G78540	0.00108626046679659	0.000419425783638456	0	0.799884665602562	0	0.0324840089432368	0.0147948880726036	0.00153071434806473	0.00289915635821896	0	0.00249973253785013	0.00154179235849098	0.00257604772078654	0.00208256338596517	0.00397197960866518	0.000339417930559953	0.0659123157011411	0.000161451744545593	0.0116386808428273	0.00411773750510691	0.00278283724874329	0.000175709554260864	0	0.000375113741933439	0.00250875906486411	0.000375934335298347	0.00627846240907954	0	0.00024279306184207	0	0.000265461953547646	0	0	0	0	0.00176540405042833	0.000146681063977254	0.00531539352118972	0.018659882821319	0	0	0	0.00597381712235755	0	0	0.0040384476712227	0	0.00315446346887587
G78546	0.204236453108156	0.00262452001680556	0	0.01543754396727	0	0.0408596059538071	0.469733537051216	0	0.00523391037294825	0	0.0248855409430307	0.00486349819126494	0.0021399476683024	0.00216978378233687	0.00550709067946248	0.00355123818286216	0.00614634529292451	0.0121213974347078	0.0168507389146405	0.0276070812313597	0	0.000140504820701354	0.000117334221504369	0.00727958861712045	0.000331053903595283	0	0	0	0.000172139565723722	0	0.00204800588427418	0	0	0.00754504539056902	0.00315776120380468	0.000122201105353964	0	0.00256463618509098	0.0640280891143361	0.0308957192899894	0.0353433105157596	0	0.000305661466119135	0	0	0.00198071592496238	0	0
G78558	0.0418615832401908	0	0.000452814157168593	0.000407599891351462	0	0.0176249460982159	0.00131132562519634	0	0.0200647257883482	0	0	0	0	0	0.00168557439968269	0	0.765016424305891	0	0.00563689833270156	0	0.00857291578182684	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000516830394909679	0	0.00465326421817987	0	0	0.0279942336142773	0.104041718889703	0	0.000159145262356337	0	0	0	0	0
G78559	0	0	0.00863842315889952	0.845864785290969	0.0145264854192098	0	0	0	0	0.00101798676749158	0	0	0	0	0	0	0.0883292572584213	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00958261628994017	0	0	0	0	0	0	0	0	0.00336273642638633	0	0	0.0286777093886821	0	0	0	0	0
G78561	0	0	0.0324242172299429	0.0486847719826466	0.0517292626730548	0.012255815070303	0.00233207859952159	0	0	0.00427627076440601	0	0	0	0	0.00636876311509935	0	0.0444990468381068	0	0.00158296168375927	0	0	0	0.00526338726509705	0.222864926879123	0.000753559574680991	0.0240496993906576	0	0	0.000329602980727957	0	0	0.00169159527208007	0.00614070662394098	0	0	0.534155373321918	0	0	0	0	0	0	0.000414542388149186	0	0	0	0	0.00018341834678507
G78585	0.00318903023849605	0	0.00161974924427586	0.100670188036469	0	0.0216651750013646	0.0553419018169436	0.00135603639259013	0.000862833794406645	0	0.0185965754368211	0.000210861980382796	0.00253889954089055	0	0.0252918494425966	0	0.112777694506369	0.0233676661835	0.0054067091148692	0	0.00183938360288722	0	0.000726916082346856	0.000541071625060324	0.000502191578343619	0	0.00122488392302487	0	0.00607091893802672	0	0.000608001621915264	0.000122921596165626	0.000199815281872758	0	0	0.278238177216769	0	0.124414091775105	0.0800787088098937	0	0	0	0.00217587470358026	0.0018975412215136	0	0.102463327126966	0.00112578853933188	0.0248752156272229
