feature	Escherichia_coli	Akkermansia_muciniphila	Klebsiella_pneumoniae	Bifidobacterium_longum	Klebsiella_variicola	Bacteroides_uniformis	Blautia_wexlerae	Ruthenibacterium_lactatiformans	Bacteroides_fragilis	Klebsiella_quasipneumoniae	Fusicatenibacter_saccharivorans	Bacteroides_ovatus	Bacteroides_thetaiotaomicron	Ruminococcus_torques	Ruminococcus_gnavus	Eubacterium_rectale	Bifidobacterium_bifidum	Flavonifractor_plautii	Faecalibacterium_prausnitzii	Anaerostipes_hadrus	Parabacteroides_distasonis	Streptococcus_salivarius	Veillonella_atypica	Erysipelatoclostridium_ramosum	Streptococcus_parasanguinis	Haemophilus_parainfluenzae	Roseburia_intestinalis	Veillonella_parvula	Clostridium_innocuum	Intestinibacter_bartlettii	Eggerthella_lenta	Veillonella_infantium	Veillonella_dispar	Eubacterium_sp_CAG_38	Enterococcus_faecalis	Bifidobacterium_pseudocatenulatum	Klebsiella_oxytoca	Bifidobacterium_adolescentis	Bacteroides_vulgatus	Bifidobacterium_dentium	Lactobacillus_rhamnosus	Haemophilus_sp_HMSC71H05	Bifidobacterium_breve	Parabacteroides_merdae	Bacteroides_dorei	Collinsella_aerofaciens	Enterobacter_cloacae_complex	Bacteroides_caccae
G69147	-1.59424685631646	-7.51542523395516	-13.9185028613783	-14.0282426171603	-13.3194415733445	-14.1619175651039	-12.3188000540975	-9.85461929045012	-14.2306259891933	-13.2372730317637	-5.75428954525308	-14.1542290223575	-13.0038614361946	-11.2898380718778	-4.14262151421626	-12.5246495988567	-1.78548937106216	-8.19769686009804	-13.3075699039634	-12.4246629198874	-12.6453987714651	-10.518586048286	-14.057088530768	-10.1073940770815	-11.134824751649	-13.540145857692	-1.87379440060146	-6.82910575969235	-7.51423834119709	-8.66613657945418	-9.17509722612033	-12.6032389350138	-12.9373786874428	-14.1893981707568	-14.2379581130993	-13.9984550446263	-13.7350297435035	-12.9833928537858	-14.1855892540854	-12.758100234121	-14.0293912046678	-13.9148239533664	-14.1938100562051	-12.1449724242361	-14.1097985346156	-13.1984422655471	-12.602001735786	-13.4125744249568
G69150	-4.11755779964882	-14.1303694594944	-13.9185028613783	-5.87909497628647	-13.3194415733445	-14.1619175651039	-5.9159665207214	-5.12211364809291	-14.2306259891933	-13.2372730317637	-7.52400001746391	-14.1542290223575	-13.0038614361946	-11.2898380718778	-5.40166338010418	-3.15417203623941	-4.5560358379346	-5.40016243961304	-0.982693091800541	-5.07186656142052	-12.6453987714651	-9.23693603097883	-14.057088530768	-12.9903359895937	-11.1340251592916	-13.540145857692	-3.42485606449686	-14.1376919904266	-13.5041336452572	-7.33886485077885	-8.98279715905182	-13.9899739736524	-13.9525126675711	-14.1893981707568	-14.2379581130993	-4.90498106530476	-13.7350297435035	-12.9833928537858	-14.1855892540854	-12.758100234121	-14.0293912046678	-13.9148239533664	-14.1938100562051	-12.1449724242361	-14.1097985346156	-13.1984422655471	-12.602001735786	-13.4125744249568
G69161	-6.5847177198683	-14.1303694594944	-13.9185028613783	-1.46601273977775	-13.3194415733445	-14.1619175651039	-11.3188000540975	-13.1720208764657	-14.2306259891933	-13.2372730317637	-12.8382804767776	-14.1542290223575	-13.0038614361946	-11.2898380718778	-13.899478476357	-12.5246495988567	-2.831443827673	-13.5966093496618	-13.3075699039634	-12.4246629198874	-12.6453987714651	-9.1930517683525	-14.057088530768	-12.9903359895937	-12.1275123155374	-13.540145857692	-11.8381445140661	-14.1376919904266	-13.5041336452572	-14.1228384818334	-14.1712586813638	-13.9899739736524	-11.9341362038622	-14.1893981707568	-8.69722297270096	-13.9984550446263	-13.7350297435035	-12.9833928537858	-14.1855892540854	-8.25840433987873	-14.0293912046678	-13.9148239533664	-1.06234016862532	-12.1449724242361	-14.1097985346156	-13.1984422655471	-12.602001735786	-13.4125744249568
G69179	-7.67400331132406	-14.1303694594944	-13.9185028613783	-8.05014554629267	-13.3194415733445	-14.1619175651039	-6.39123148990076	-10.0404278323672	-10.3712567901395	-13.2372730317637	-12.8382804767776	-14.1542290223575	-13.0038614361946	-11.2898380718778	-5.49697018592764	-12.5246495988567	-6.25898155108028	-4.79452361055955	-2.48369473518962	-5.77749713433726	-3.36033553583777	-14.0971949408276	-14.057088530768	-12.9903359895937	-13.8027470367344	-8.63067538296737	-8.61511969523315	-8.36291062524352	-13.5041336452572	-14.1228384818334	-9.62198564579049	-12.6796383531889	-10.4361173209549	-4.40728545131505	-14.2379581130993	-7.52897998589802	-13.7350297435035	-5.10168723661024	-0.96361023137422	-12.758100234121	-14.0293912046678	-9.22499505489927	-7.77436664128221	-12.1449724242361	-9.75346153591855	-13.1984422655471	-12.602001735786	-13.4125744249568
G69187	-3.09587964281589	-14.1303694594944	-13.9185028613783	-2.24710387047702	-13.3194415733445	-14.1619175651039	-12.3188000540975	-13.1720208764657	-10.5646356570825	-13.2372730317637	-12.8382804767776	-0.844761005372883	-13.0038614361946	-11.2898380718778	-8.99528673203851	-12.5246495988567	-5.78589540872771	-13.5966093496618	-13.3075699039634	-12.4246629198874	-12.6453987714651	-14.0971949408276	-14.057088530768	-12.9903359895937	-11.7324744900592	-13.540145857692	-11.8381445140661	-3.48528452005332	-13.5041336452572	-14.1228384818334	-11.5883432272487	-13.9899739736524	-13.9525126675711	-14.1893981707568	-10.5539076226716	-13.9984550446263	-13.7350297435035	-12.9833928537858	-12.080308026187	-12.758100234121	-14.0293912046678	-13.9148239533664	-7.95361254587988	-12.1449724242361	-14.1097985346156	-13.1984422655471	-12.602001735786	-13.4125744249568
G69189	-1.73290652311943	-4.67269982392681	-6.78521957428619	-2.42869974671019	-8.70303029931542	-4.40525224609632	-12.3188000540975	-13.1720208764657	-14.2306259891933	-10.5391251168141	-12.8382804767776	-10.3503780589063	-13.0038614361946	-11.2898380718778	-13.899478476357	-12.5246495988567	-1.79770405883379	-13.5966093496618	-13.3075699039634	-12.4246629198874	-12.6453987714651	-14.0971949408276	-14.057088530768	-12.9903359895937	-13.8027470367344	-13.540145857692	-11.8381445140661	-14.1376919904266	-10.7218339793562	-14.1228384818334	-8.43780153905086	-13.9899739736524	-13.9525126675711	-14.1893981707568	-4.90500655662943	-13.9984550446263	-13.7350297435035	-12.9833928537858	-10.135284676786	-10.8365802159573	-14.0293912046678	-13.9148239533664	-14.1938100562051	-12.1449724242361	-14.1097985346156	-13.1984422655471	-12.602001735786	-3.5031635509575
G69190	-5.48016085103094	-14.1303694594944	-8.85978807369356	-1.17096714679821	-11.2423643760543	-14.1619175651039	-10.3587857656551	-13.1720208764657	-14.2306259891933	-13.2372730317637	-12.8382804767776	-14.1542290223575	-13.0038614361946	-8.9044558423569	-13.899478476357	-12.5246495988567	-1.51427113139556	-13.5966093496618	-9.0545388299338	-12.4246629198874	-12.6453987714651	-14.0971949408276	-14.057088530768	-12.9903359895937	-13.8027470367344	-13.540145857692	-10.4201195822121	-14.1376919904266	-13.5041336452572	-14.1228384818334	-14.1712586813638	-13.9899739736524	-13.9525126675711	-14.1893981707568	-8.00892815282702	-13.9984550446263	-13.7350297435035	-12.9833928537858	-7.13002846774379	-2.6273385408915	-14.0293912046678	-13.9148239533664	-8.76445321980149	-12.1449724242361	-14.1097985346156	-12.1984422655471	-12.602001735786	-13.4125744249568
G69203	-10.9931931307518	-6.63070585304532	-13.9185028613783	-10.6704703814566	-13.3194415733445	-5.92524647758235	-12.3188000540975	-7.57393903503967	-11.1661019906329	-13.2372730317637	-11.2177952248144	-8.66703192799441	-13.0038614361946	-4.00164786030924	-11.1104378155179	-7.29739764071244	-2.32540061567384	-10.2920402410778	-8.80135557195949	-11.4246629198874	-12.6453987714651	-11.2443534362973	-14.057088530768	-10.3451566703698	-13.8027470367344	-13.540145857692	-11.8381445140661	-14.1376919904266	-8.17725267842085	-9.45239706927482	-7.35267927749968	-13.9899739736524	-13.9525126675711	-11.4895243322006	-14.2379581130993	-1.45315851549509	-13.7350297435035	-12.9833928537858	-8.06560832329774	-12.758100234121	-5.65409567332091	-13.9148239533664	-14.1938100562051	-12.1449724242361	-14.1097985346156	-1.79449217407071	-12.602001735786	-8.95818327821682
G69205	-4.94918277324902	-14.1303694594944	-13.9185028613783	-0.674024995564625	-13.3194415733445	-14.1619175651039	-12.3188000540975	-13.1720208764657	-14.2306259891933	-13.2372730317637	-12.8382804767776	-8.09031284092422	-13.0038614361946	-11.2898380718778	-10.8375771018847	-12.5246495988567	-14.1521080219772	-13.5966093496618	-13.3075699039634	-12.4246629198874	-12.6453987714651	-14.0971949408276	-14.057088530768	-12.9903359895937	-13.8027470367344	-13.540145857692	-11.8381445140661	-14.1376919904266	-13.5041336452572	-14.1228384818334	-4.96110868679075	-13.9899739736524	-13.9525126675711	-14.1893981707568	-2.34326004162676	-12.7598747448914	-13.7350297435035	-12.9833928537858	-7.14301618805369	-6.4449711960964	-3.49802192663875	-13.9148239533664	-14.1938100562051	-12.1449724242361	-14.1097985346156	-11.7878361479923	-12.602001735786	-13.4125744249568
G69210	-3.84150163355802	-14.1303694594944	-13.9185028613783	-0.161626710972784	-13.3194415733445	-14.1619175651039	-12.3188000540975	-13.1720208764657	-14.2306259891933	-13.2372730317637	-12.8382804767776	-13.046273742919	-13.0038614361946	-11.2898380718778	-11.8951355375473	-12.5246495988567	-4.93522295220861	-13.5966093496618	-10.9784158210902	-12.4246629198874	-12.6453987714651	-14.0971949408276	-14.057088530768	-12.9903359895937	-10.3796727731735	-13.540145857692	-11.8381445140661	-14.1376919904266	-13.5041336452572	-14.1228384818334	-14.1712586813638	-13.9899739736524	-13.9525126675711	-14.1893981707568	-14.2379581130993	-9.8748398613344	-13.7350297435035	-12.9833928537858	-10.4077634408372	-12.758100234121	-14.0293912046678	-13.9148239533664	-13.1184552004099	-12.1449724242361	-14.1097985346156	-13.1984422655471	-12.602001735786	-13.4125744249568
