feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Blautia_wexlerae	age_at_collection	age_at_collection	0.018277646610992	0.00265754737964156	147	52	1.9365740001675e-10	6.50688864056281e-08
Faecalibacterium_prausnitzii	age_at_collection	age_at_collection	0.0210744309079241	0.0032186700203317	147	40	1.06566781079613e-09	1.7903219221375e-07
Bifidobacterium_bifidum	country	FIN	-6.28994121339958	0.984122427033801	147	87	2.35405187989013e-09	2.63653810547694e-07
Anaerostipes_hadrus	age_at_collection	age_at_collection	0.0160244393025741	0.00277951318236172	147	36	5.11072907624434e-08	4.29301242404524e-06
Veillonella_parvula	country	FIN	4.5693463956512	0.863566478999951	147	86	4.6584168896615e-07	2.9580832737299e-05
Veillonella_parvula	country	EST	4.80095005959107	0.912112538378809	147	86	5.28229156023196e-07	2.9580832737299e-05
Flavonifractor_plautii	age_at_collection	age_at_collection	0.0171377857362173	0.00345887358523527	147	54	2.08632580057955e-06	0.000100143638427819
Eubacterium_rectale	age_at_collection	age_at_collection	0.00851439720096592	0.00180630540731004	147	21	5.87592421104495e-06	0.000246788816863888
Roseburia_intestinalis	age_at_collection	age_at_collection	0.00992363614586261	0.00219228205656578	147	21	1.2824825762704e-05	0.000478793495140951
Enterococcus_faecalis	country	FIN	-3.11594417845617	0.696891063289876	147	55	1.609594164787e-05	0.000540823639368433
Veillonella_atypica	country	FIN	2.8510096025925	0.648096788793649	147	53	2.1575948651973e-05	0.000659047158823903
Enterococcus_faecalis	country	EST	-3.1407753537237	0.736067334905055	147	55	3.65830274624113e-05	0.00102432476894752
Eubacterium_sp_CAG_38	age_at_collection	age_at_collection	0.0127278869378925	0.00301748323720006	147	19	4.43613514027636e-05	0.00114657031317912
Veillonella_atypica	country	EST	2.81094446639107	0.684530052424329	147	53	6.84899371497128e-05	0.00164375849159311
Flavonifractor_plautii	country	FIN	2.66301305453414	0.678739237304629	147	54	0.000137092625265959	0.00307087480595748
Ruthenibacterium_lactatiformans	age_at_collection	age_at_collection	0.00819852535623344	0.0021091259719511	147	24	0.000156923418864963	0.00329539179616423
Bifidobacterium_bifidum	country	EST	-4.00696684726609	1.03944563253174	147	87	0.000176809406354095	0.00349458591382212
