feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Faecalibacterium_prausnitzii	age_at_collection	age_at_collection	0.00968682201308946	0.000499672388409963	785	546	2.79639897157513e-68	1.48768425287797e-65
Anaerostipes_hadrus	age_at_collection	age_at_collection	0.00711172777860241	0.000459311573129371	785	521	3.34525236098047e-47	8.89837128020806e-45
Alistipes_finegoldii	age_at_collection	age_at_collection	0.00546815590302082	0.000402119722401471	785	210	8.79738133472071e-38	1.56006895669047e-35
Eubacterium_rectale	age_at_collection	age_at_collection	0.00704726849891161	0.000528693706500259	785	323	1.49896733365367e-36	1.99362655375938e-34
Odoribacter_splanchnicus	age_at_collection	age_at_collection	0.00505045131308613	0.000386360811020062	785	169	2.73101854849052e-35	2.90580373559391e-33
Fusicatenibacter_saccharivorans	age_at_collection	age_at_collection	0.00594576196552022	0.000472649352825536	785	399	4.38916871674002e-33	3.89172959550948e-31
Alistipes_putredinis	age_at_collection	age_at_collection	0.00514993704510284	0.000416070112516392	785	146	3.80909140823236e-32	2.89490947025659e-30
Eubacterium_hallii	age_at_collection	age_at_collection	0.00481086056812833	0.000389633479753597	785	330	4.56692236020367e-32	3.03700336953544e-30
Roseburia_inulinivorans	age_at_collection	age_at_collection	0.00596788614681104	0.000489268859422609	785	362	2.19385780458459e-31	1.29681372448778e-29
Dorea_longicatena	age_at_collection	age_at_collection	0.00414954471660827	0.000359146378003841	785	295	1.70799203582603e-28	9.08651763059448e-27
Escherichia_coli	age_at_collection	age_at_collection	-0.00593776333758429	0.000517381884590578	785	579	3.31922051373888e-28	1.50457470842917e-26
Blautia_wexlerae	age_at_collection	age_at_collection	0.00529008241973398	0.000461246876787529	785	549	3.39377753781016e-28	1.50457470842917e-26
Ruminococcus_lactaris	age_at_collection	age_at_collection	0.00431802766174815	0.000382888190806279	785	199	2.42226485503045e-27	9.91265309904768e-26
Intestinimonas_butyriciproducens	age_at_collection	age_at_collection	0.00308782626445987	0.000275617048758943	785	172	4.39393922761529e-27	1.66969690649381e-25
Ruminococcus_bromii	age_at_collection	age_at_collection	0.00565105772907564	0.0005183786102727	785	306	8.10166055563318e-26	2.72400073191416e-24
Barnesiella_intestinihominis	age_at_collection	age_at_collection	0.00406542420189815	0.000372471437647774	785	137	8.19248340425312e-26	2.72400073191416e-24
Eubacterium_eligens	age_at_collection	age_at_collection	0.00512684110440903	0.000475711572699151	785	324	2.75606635695865e-25	8.62486648177649e-24
Roseburia_intestinalis	age_at_collection	age_at_collection	0.00539584103449493	0.000523507081348724	785	348	2.06191589035141e-23	6.09410696481638e-22
Roseburia_faecis	age_at_collection	age_at_collection	0.00557947187137261	0.000544823270669629	785	327	3.72441260839845e-23	1.04283553035156e-21
Ruminococcus_bicirculans	age_at_collection	age_at_collection	0.00371150485146179	0.0003721471650628	785	206	4.24546732425401e-22	1.12929430825157e-20
Ruthenibacterium_lactatiformans	age_at_collection	age_at_collection	0.00363067671254758	0.000377012087751775	785	354	8.66052194117829e-21	2.19399889176517e-19
Dorea_formicigenerans	age_at_collection	age_at_collection	0.00257310127553557	0.000269583202718731	785	214	1.79682130372884e-20	4.34504060719884e-19
Bacteroides_ovatus	age_at_collection	age_at_collection	0.00488166564878253	0.000511904115548727	785	337	2.43469594513463e-20	5.63155757744183e-19
Akkermansia_muciniphila	age_at_collection	age_at_collection	0.00512114313662819	0.000548741436894579	785	342	1.10257687401843e-19	2.44404540407418e-18
Agathobaculum_butyriciproducens	age_at_collection	age_at_collection	0.00252457109391874	0.000271028515002525	785	233	1.26582345344427e-19	2.69367230892941e-18
Dialister_invisus	age_at_collection	age_at_collection	0.0032635891654728	0.000351392335242379	785	224	1.62224753901981e-19	3.31936804137901e-18
Gemmiger_formicilis	age_at_collection	age_at_collection	0.00211901738031413	0.000229281731346982	785	178	2.4353011939215e-19	4.79844531543051e-18
Eubacterium_siraeum	age_at_collection	age_at_collection	0.00255141371870714	0.000282951934750749	785	120	1.54640629017679e-18	2.9381719513359e-17
Roseburia_hominis	age_at_collection	age_at_collection	0.00334094508200879	0.000374852396638844	785	243	3.58716298000755e-18	6.58058863918627e-17
Coprococcus_comes	age_at_collection	age_at_collection	0.00261814735177666	0.000294668000034722	785	165	4.87275259729622e-18	8.64101460587197e-17
Bacteroides_uniformis	age_at_collection	age_at_collection	0.00531477468393106	0.000598019125194242	785	486	5.10170513496672e-18	8.75518429613643e-17
Bacteroides_thetaiotaomicron	age_at_collection	age_at_collection	0.00397090488257085	0.000458396285751485	785	223	3.10551073081972e-17	5.16291158998779e-16
Bacteroides_vulgatus	age_at_collection	age_at_collection	0.00509818629365958	0.000597692065258075	785	515	8.97767408012456e-17	1.44730988200796e-15
Bacteroides_fragilis	age_at_collection	age_at_collection	0.00502183680163089	0.000598368727389998	785	454	2.56947542704485e-16	4.02047331525842e-15
Gordonibacter_pamelaeae	country	EST	-2.16431913333524	0.247741775701944	785	283	6.35674393936156e-16	9.66225078782957e-15
Enterococcus_faecalis	age_at_collection	age_at_collection	-0.00275610978073801	0.000346332444668998	785	135	6.2820583891856e-15	9.28348628624095e-14
Bacteroides_caccae	age_at_collection	age_at_collection	0.00362268333738018	0.000455441025154911	785	215	7.36527462328832e-15	1.05900705394308e-13
Flavonifractor_plautii	age_at_collection	age_at_collection	0.00348929769282986	0.000447100165330849	785	578	1.97657667164428e-14	2.76720734030199e-13
Veillonella_parvula	age_at_collection	age_at_collection	-0.00376118770878341	0.000493812154566801	785	383	7.84751798725602e-14	1.07048194082569e-12
Eggerthella_lenta	country	EST	-2.97631758878028	0.374498576047972	785	453	9.53582752281499e-14	1.26826506053439e-12
Gordonibacter_pamelaeae	country	FIN	-1.83398909180743	0.235939628025477	785	283	5.56897699809716e-13	7.22608722679924e-12
Bifidobacterium_bifidum	country	FIN	-4.32109245810038	0.560421662167507	785	469	8.01591474678503e-13	1.01534920125944e-11
Blautia_obeum	age_at_collection	age_at_collection	0.00204124060020814	0.000283441843648004	785	157	1.4337905696473e-12	1.77389903035433e-11
Klebsiella_pneumoniae	age_at_collection	age_at_collection	-0.00254252001109342	0.00035880863243435	785	156	3.13131349064851e-12	3.78604267505684e-11
Eubacterium_sp_CAG_180	age_at_collection	age_at_collection	0.00223776767174608	0.000327248337572653	785	100	1.64698658395617e-11	1.94710413925485e-10
Ruminococcus_torques	age_at_collection	age_at_collection	0.00278187594786428	0.000412638326041974	785	271	3.1209604320528e-11	3.60945858663498e-10
Parabacteroides_distasonis	age_at_collection	age_at_collection	0.00336808828117118	0.00051375916789024	785	343	1.07264604531669e-10	1.21414403427336e-09
Bacteroides_xylanisolvens	age_at_collection	age_at_collection	0.00223423771978774	0.000348502805332598	785	149	2.66970330870875e-10	2.9589211671522e-09
Streptococcus_thermophilus	age_at_collection	age_at_collection	0.00216952113351106	0.000353913553306915	785	187	1.40711461158796e-09	1.52772443543835e-08
Sellimonas_intestinalis	age_at_collection	age_at_collection	0.00167300264366574	0.000277803873215098	785	195	2.69982168272208e-09	2.87261027041629e-08
