feature	Escherichia_coli	Akkermansia_muciniphila	Klebsiella_pneumoniae	Dialister_invisus	Bifidobacterium_longum	Bacteroides_uniformis	Eubacterium_sp_CAG_180	Blautia_wexlerae	Ruthenibacterium_lactatiformans	Bacteroides_fragilis	Fusicatenibacter_saccharivorans	Bacteroides_ovatus	Bacteroides_thetaiotaomicron	Ruminococcus_torques	Ruminococcus_gnavus	Roseburia_faecis	Eubacterium_rectale	Bifidobacterium_bifidum	Flavonifractor_plautii	Roseburia_inulinivorans	Faecalibacterium_prausnitzii	Sellimonas_intestinalis	Ruminococcus_bromii	Anaerostipes_hadrus	Parabacteroides_distasonis	Hungatella_hathewayi	Streptococcus_salivarius	Streptococcus_thermophilus	Veillonella_atypica	Erysipelatoclostridium_ramosum	Agathobaculum_butyriciproducens	Gemmiger_formicilis	Lachnospira_pectinoschiza	Haemophilus_parainfluenzae	Dorea_longicatena	Blautia_obeum	Roseburia_intestinalis	Veillonella_parvula	Clostridium_innocuum	Intestinibacter_bartlettii	Eggerthella_lenta	Clostridium_symbiosum	Gordonibacter_pamelaeae	Veillonella_dispar	Eubacterium_sp_CAG_38	Bacteroides_xylanisolvens	Eubacterium_eligens	Clostridium_clostridioforme	Roseburia_hominis	Ruminococcus_bicirculans	Coprococcus_comes	Enterococcus_faecalis	Clostridium_bolteae	Lactococcus_lactis	Bifidobacterium_pseudocatenulatum	Eubacterium_siraeum	Intestinimonas_butyriciproducens	Dorea_formicigenerans	Bifidobacterium_adolescentis	Bacteroides_vulgatus	Bifidobacterium_dentium	Haemophilus_sp_HMSC71H05	Bifidobacterium_breve	Parabacteroides_merdae	Ruminococcus_lactaris	Bacteroides_stercoris	Alistipes_putredinis	Barnesiella_intestinihominis	Bacteroides_dorei	Eubacterium_hallii	Odoribacter_splanchnicus	Alistipes_finegoldii	Collinsella_aerofaciens	Prevotella_copri	Parasutterella_excrementihominis	Bacteroides_caccae
G69146	0.274205408930466	0.244994803914018	0.13527827315909	0.0559945028510959	0.0431600204442729	0.0331793344809065	0.0245589328169587	0.0224947013925911	0.0205906034361181	0.0193171372816919	0.011047708971175	0.00853918468960013	0.00807708811141529	0.00741735022619727	0.00526480034327174	0.00520428769612849	0.0037839908540885	0.00371097559389912	0.00334970008731825	0.00289090419897759	0.00223806775616104	0.00213214561843425	0.00205763004467934	0.00172966149925334	0.00149951339830024	0.000983905636277982	0.000885185003665766	0.000602926011536411	0.000541813238966944	0.000424588739046461	0.000372777910583312	0.0002614546440206	0.000188039300213745	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G69147	0.324008948193234	0.00534693251739296	0	0	0	0	0	0	0.00105666452266618	0	0.0181242219413563	0	0	0	0.0553885239931857	0	0	0.283783585104201	0.00333211881089886	0	0	0	0	0	0	0.000743315734259824	0.00066690383692741	0.00113037599954313	0	0.000886838080689163	0	0	0	0	0	0	0.266934561711258	0.00860413966454577	0.00535133320257964	0.00240827496841258	0.00169236350099711	0.00025443961624825	0.000145122595588133	0.000124719418813509	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G69148	0.00429090851632232	0	0	0.01580003602259	0.0129005275479307	0	0	0	0.0228654440254254	0	0.00301281662151509	0	0	0	0.00381077399465022	0.00164171803952704	0	0.0177902791210688	0.0642476194038351	0.118023385881445	0.146549536911704	0	0	0.0588845337979801	0	0.00651146817456175	0.000976270193826936	0	0	0.000994171480929479	0.000935767281667552	0.0263325933134592	0	0	0.00438081498059711	0.00694229915130898	0.161527613835435	0	0	0.000656547205744093	0.0028270032615345	0.000471133874525578	0.00206374838350877	0	0.0132001490907196	0.094772914172529	0.0216112538491518	0.0164533829982376	0.0153945068650436	0.0128458236147179	0.00897314516913766	0.00776275814231043	0.00578251576288335	0.00369936598441428	0.0023339678122857	0.00174242528037766	0.00154351097843935	0.00115518305766185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G69149	0.0443485552436955	0	0	0	0.118878096351238	0.0144510148157019	0	0	0	0.188281006984684	0	0	0	0.038795706076788	0.072086887782121	0	0	0.096971656156774	0.0317543931791402	0	0.00446529114088439	0.00168676547936746	0	0.0167147763517461	0	0	0	0	0.000581598418148352	0.0194732917459949	0	0	0	0	0	0	0	0.000191398206419714	0	0	0.00510812097687323	0	0.000659938614503102	0	0	0	0	0	0	0	0	0	0	0.0198356776862208	0.000808514848969006	0	0	0	0.222677856007918	0.0271696407426651	0.0180886813023763	0.000828024859555438	0.000481947287153038	0.000457834915094935	0	0	0	0	0	0	0	0	0	0	0	0
G69150	0.019886921602738	0	0	0.00236735018782398	0.00586532434487611	0	0	0.00571732120720959	0.0099121101367349	0	0.00187553976144294	0	0	0	0.00816607312075016	0.595127316699114	0.038777122074988	0.0146748111059954	0.00817457330095398	0	0.17468510332419	0	0.0270817741336116	0.0102634175844528	0	0	0.00057211212877713	0	0	0	0	0.00628543325118493	0.000902119124925448	0	0	0	0.0321433814396865	0	0	0.00213234520571836	0.000682314465066659	0	0.0016004339291993	0	0	0	0.000876318577953853	0	0.00426929050895879	0	0.00292816207703603	0	0	0	0.0115220442673385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G69152	0.0493595691961915	0.0805299754181308	0	0	0.189800774641929	0	0	0.0011847864853928	0.00161775463457948	0	0.0062379818583445	0	0	0.0170588850685098	0.00462402782197918	0	0	0	0.0239005619484507	0	0	0.00188239628917592	0.0059587379053463	0.000364257334104388	0	0.0054725613811614	0	0	0.00206582516088032	0.019111708182868	0	0.0183974957658335	0	0.000316049746230057	0.00988255551423794	0	0	0.189762668644045	0.00228025891275287	0.00140632135498127	0.00487496731985615	0	0.000683707615578692	0.000618397335740646	0.0270529581356105	0	0	0	0	0	0.00776322193113196	0.000171026919637151	0	0	0.130577452891085	0.0231709471070747	0	0	0.108487575944454	0	0.000818428820696378	0	0.0177882998784009	0	0.0134407155686305	0	0	0	0	0	0	0	0	0	0	0
G69153	0	0.052275634728404	0	0	0.00977107001389722	0.0578011100969524	0	0.0404431904623377	0.000365737370956531	0.112110808819793	0	0.0233003516120655	0	0	0.00481320784086503	0	0	0.0106055834571465	0.000840315622547829	0.000107040204300735	0.0260662904987113	0	0	0.0161070498079079	0.0252890985854287	0	0.000313817869991969	0	0	0.00261798331453294	0.000249093559540964	0	0	0	0.00404722013588304	0	0	0	0.000857522085295237	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000904939895424721	0	0.000538702336597626	0	0	0	0.00105979806015139	0.200339047346183	0	0	0.00019607364526116	0.0283685552293441	0	0.142183904274445	0.0462209605927987	0.0435290495109963	0.0263427943535592	0.018760646498825	0.00797509544584946	0.00588431014689117	0.00423949235332791	0.00074337921323249	0	0
G69154	0.00357693446767402	0.00367031629817209	0	0	0.0499000273940054	0.0623716562824003	0	0	0.00857661568832768	0	0	0	0	0.00404044063813119	0.000408257756271821	0.00103120364375302	0	0.0625751345904416	0.00666504057505592	0	0.00207401746150151	0	0	0.000237007689838606	0.041442616164545	0.00419117272465862	0	0	0	0	0	0.000336795133575552	0	0	0.00178536451492443	0.000357713464308774	0	0	0	0	0	0	0	0	0	0.036174099363272	0	0	0	0	0	0	0	0	0.0290687729657499	0	0	0.00146308209884322	0.03935278484536	0.332233936598641	0	0	0.0362104312008613	0	0	0.0478513321223388	0	0	0.00973583150915147	0	0.0343811281826264	0	0.00899658370630183	0.114646865047841	0	0
G69155	0.00260176824230578	0	0	0	0.000758078157858075	0.000647666774444445	0	0.0112286576746063	0	0.485728378595833	0.0295979515488047	0	0	0	0.0208654512280216	0	0.0434955843947511	0.000934696367195458	0.00992232299150042	0.0177463296465866	0.0407868051196078	0	0	0.0342770339622015	0.144555003620873	0	0	0	0.00318762864451325	0.00255726365388272	0	0	0.00258586660284675	0.000901892985166771	0	0	0.0395442770149602	0	0.00112621611288124	0	0	0	0	0.00179858543415826	0.0115572915567595	0	0	0	0.000466348080487098	0.00367917932338824	0	0	0	0.0148006259445349	0.000199220539637637	0	0	0.000911794005962015	0.0537589425469766	0.000579559752610494	0	0.00246665431205957	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G69156	0.000171471606542892	0	0	0	0.000251905195609687	0	0	0	0	0	0	0	0	0	0	0	0	0.591872165816445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.374907661439417	0	0	0	0	0	0	0	0	0	0	0	0	0
