feature	Escherichia_coli	Akkermansia_muciniphila	Klebsiella_pneumoniae	Dialister_invisus	Bifidobacterium_longum	Bacteroides_uniformis	Eubacterium_sp_CAG_180	Blautia_wexlerae	Ruthenibacterium_lactatiformans	Bacteroides_fragilis	Fusicatenibacter_saccharivorans	Bacteroides_ovatus	Bacteroides_thetaiotaomicron	Ruminococcus_torques	Ruminococcus_gnavus	Roseburia_faecis	Eubacterium_rectale	Bifidobacterium_bifidum	Flavonifractor_plautii	Roseburia_inulinivorans	Faecalibacterium_prausnitzii	Sellimonas_intestinalis	Ruminococcus_bromii	Anaerostipes_hadrus	Parabacteroides_distasonis	Hungatella_hathewayi	Streptococcus_salivarius	Streptococcus_thermophilus	Veillonella_atypica	Erysipelatoclostridium_ramosum	Agathobaculum_butyriciproducens	Gemmiger_formicilis	Lachnospira_pectinoschiza	Haemophilus_parainfluenzae	Dorea_longicatena	Blautia_obeum	Roseburia_intestinalis	Veillonella_parvula	Clostridium_innocuum	Intestinibacter_bartlettii	Eggerthella_lenta	Clostridium_symbiosum	Gordonibacter_pamelaeae	Veillonella_dispar	Eubacterium_sp_CAG_38	Bacteroides_xylanisolvens	Eubacterium_eligens	Clostridium_clostridioforme	Roseburia_hominis	Ruminococcus_bicirculans	Coprococcus_comes	Enterococcus_faecalis	Clostridium_bolteae	Lactococcus_lactis	Bifidobacterium_pseudocatenulatum	Eubacterium_siraeum	Intestinimonas_butyriciproducens	Dorea_formicigenerans	Bifidobacterium_adolescentis	Bacteroides_vulgatus	Bifidobacterium_dentium	Haemophilus_sp_HMSC71H05	Bifidobacterium_breve	Parabacteroides_merdae	Ruminococcus_lactaris	Bacteroides_stercoris	Alistipes_putredinis	Barnesiella_intestinihominis	Bacteroides_dorei	Eubacterium_hallii	Odoribacter_splanchnicus	Alistipes_finegoldii	Collinsella_aerofaciens	Prevotella_copri	Parasutterella_excrementihominis	Bacteroides_caccae
G69146	-1.78807299369037	-1.95057887196644	-2.80739987462234	-4.0799729179319	-4.45556257012919	-4.83497316968	-5.26901024709059	-5.39567290244606	-5.52327200757523	-5.61537680964752	-6.42151089791821	-6.79308788347676	-6.87335093564273	-6.99628232264361	-7.49080739218105	-7.50748549592357	-7.9672776115408	-7.99538770038174	-8.14315428240452	-8.35566541276482	-8.72493249952241	-8.79488024050497	-8.84620259964614	-9.09669648815713	-9.30269180033941	-9.91059435088438	-10.0631352981409	-10.6171333364008	-10.7713186625275	-11.1230481995582	-11.3107979342698	-11.8225536122032	-12.2980800914336	-14.0684505689411	-13.6154302515033	-14.2079236370228	-14.047651261994	-14.2562302528615	-14.1990643135679	-14.1244750004078	-14.1982973415806	-14.1547411051289	-14.2397349284951	-14.1190997183192	-14.1775855811384	-13.9413437028146	-14.0335118771984	-14.1297857940061	-14.066668272339	-14.1527869704871	-14.0332497302791	-14.2379581130993	-14.1365398691363	-14.1034162651924	-13.9741544434437	-13.8088547415062	-13.990624531855	-13.9280410306545	-14.2087056848343	-14.2295450352174	-14.0862717063554	-14.0872050995697	-14.1835110354742	-14.2609737265324	-14.0181818654611	-14.1069947521898	-13.6144159380918	-14.158173745199	-14.2288271941611	-14.2395877288277	-14.1645341940811	-14.241852300378	-13.8244997222428	-14.2708653386712	-14.1346781686836	-13.7668031376675
G69147	-1.59672363037566	-7.51790200801435	-14.0085855205264	-14.1344594071154	-14.263543000882	-14.162181885352	-13.3858319882143	-14.0531813946622	-9.85709606450931	-14.2600094086985	-5.75676631931227	-14.2110092554701	-13.9500872598199	-13.5927443536324	-4.14509828827545	-14.1319781175193	-14.1497612197407	-1.78796614512136	-8.20017363415724	-14.0618271305782	-14.2072299801984	-14.0932916817353	-14.1976999327422	-13.7311335468752	-14.2686151708482	-10.364566424949	-10.5210628223452	-9.75981073748085	-14.1671981812033	-10.1098708511406	-14.1919253178251	-13.805714644195	-14.0836290503587	-14.0684505689411	-13.6154302515033	-14.2079236370228	-1.87627117466065	-6.83158253375154	-7.51671511525628	-8.66861335351337	-9.17757400017952	-11.9112182560473	-12.7212694072649	-12.9398554615019	-14.1775855811384	-13.9413437028146	-14.0335118771984	-14.1297857940061	-14.066668272339	-14.1527869704871	-14.0332497302791	-14.2379581130993	-14.1365398691363	-14.1034162651924	-13.9741544434437	-13.8088547415062	-13.990624531855	-13.9280410306545	-14.2087056848343	-14.2295450352174	-14.0862717063554	-14.0872050995697	-14.1835110354742	-14.2609737265324	-14.0181818654611	-14.1069947521898	-13.6144159380918	-14.158173745199	-14.2288271941611	-14.2395877288277	-14.1645341940811	-14.241852300378	-13.8244997222428	-14.2708653386712	-14.1346781686836	-13.7668031376675
G69148	-7.69914426812208	-14.1686770143251	-14.0085855205264	-5.81857146826899	-6.11106925215586	-14.162181885352	-13.3858319882143	-14.0531813946622	-5.28533038068537	-14.2600094086985	-8.20931454642866	-14.2110092554701	-13.9500872598199	-13.5927443536324	-7.87034336191392	-9.08522104121062	-14.1497612197407	-5.64741016989779	-3.79485631742002	-2.9174984685924	-2.60518281179676	-14.0932916817353	-14.1976999327422	-3.92061056031662	-14.2686151708482	-7.09744453875502	-9.83507502042399	-14.2829031238281	-14.1671981812033	-9.8088607873222	-9.89620571872237	-5.08164970653033	-14.0836290503587	-14.0684505689411	-7.66922812562654	-7.00501387694821	-2.46479040011428	-14.2562302528615	-14.1990643135679	-10.4074567610374	-8.30115386315298	-10.8862184401498	-8.75516032566501	-14.1190997183192	-6.07794509150991	-3.23402451596286	-5.3667165384813	-5.76011506730361	-5.85608366186563	-6.11719992375488	-6.63481365922688	-6.84385807134264	-7.26873011718095	-7.91314937503449	-8.57764274577366	-8.99933061977904	-9.17421166640962	-9.59230592237234	-14.2087056848343	-14.2295450352174	-14.0862717063554	-14.0872050995697	-14.1835110354742	-14.2609737265324	-14.0181818654611	-14.1069947521898	-13.6144159380918	-14.158173745199	-14.2288271941611	-14.2395877288277	-14.1645341940811	-14.241852300378	-13.8244997222428	-14.2708653386712	-14.1346781686836	-13.7668031376675
G69149	-4.41304487647653	-14.1686770143251	-14.0085855205264	-14.1344594071154	-2.99052096912266	-6.03076117379301	-13.3858319882143	-14.0531813946622	-14.2622651745162	-2.32711641363126	-14.2183985745901	-14.2110092554701	-13.9500872598199	-4.60603499943209	-3.71219511780865	-14.1319781175193	-14.1497612197407	-3.28436885904201	-4.89497578197349	-14.0618271305782	-7.72510583415229	-9.12960067610068	-14.1976999327422	-5.82080793122307	-14.2686151708482	-14.187320761644	-14.2747878391007	-14.2829031238281	-10.6657648270596	-5.60043520623887	-14.1919253178251	-13.805714644195	-14.0836290503587	-14.0684505689411	-13.6154302515033	-14.2079236370228	-14.047651261994	-12.2692108619454	-14.1990643135679	-14.1244750004078	-7.53106738439956	-14.1547411051289	-10.483456336854	-14.1190997183192	-14.1775855811384	-13.9413437028146	-14.0335118771984	-14.1297857940061	-14.066668272339	-14.1527869704871	-14.0332497302791	-14.2379581130993	-14.1365398691363	-5.57383429463292	-10.190513902334	-13.8088547415062	-13.990624531855	-13.9280410306545	-2.08504578997462	-5.11993649336361	-5.70684474594384	-10.1561140904315	-10.9369128117045	-11.0109606835131	-14.0181818654611	-14.1069947521898	-13.6144159380918	-14.158173745199	-14.2288271941611	-14.2395877288277	-14.1645341940811	-14.241852300378	-13.8244997222428	-14.2708653386712	-14.1346781686836	-13.7668031376675
G69150	-5.63241066863844	-14.1686770143251	-14.0085855205264	-8.70288560388443	-7.39394784527609	-14.162181885352	-13.3858319882143	-7.43081938971103	-6.63696651708254	-14.2600094086985	-9.03885288645353	-14.2110092554701	-13.9500872598199	-13.5927443536324	-6.9165162490938	-0.729104205251777	-4.66902490522903	-6.07088870692422	-6.91501530860267	-14.0618271305782	-2.49754596079016	-14.0932916817353	-5.18690838671276	-6.58671943041015	-14.2686151708482	-14.187320761644	-10.7517888999685	-14.2829031238281	-14.1671981812033	-14.2286468676496	-14.1919253178251	-7.2941465427255	-10.0947688757072	-14.0684505689411	-13.6154302515033	-14.2079236370228	-4.93970893348648	-14.2562302528615	-14.1990643135679	-8.85371771976847	-10.4976500280414	-14.1547411051289	-9.26769561565676	-14.1190997183192	-14.1775855811384	-13.9413437028146	-10.136631385452	-14.1297857940061	-7.85216239908347	-14.1527869704871	-8.39616332430072	-14.2379581130993	-14.1365398691363	-14.1034162651924	-6.41983393429438	-13.8088547415062	-13.990624531855	-13.9280410306545	-14.2087056848343	-14.2295450352174	-14.0862717063554	-14.0872050995697	-14.1835110354742	-14.2609737265324	-14.0181818654611	-14.1069947521898	-13.6144159380918	-14.158173745199	-14.2288271941611	-14.2395877288277	-14.1645341940811	-14.241852300378	-13.8244997222428	-14.2708653386712	-14.1346781686836	-13.7668031376675
G69152	-4.29161109431314	-3.58541500419306	-14.0085855205264	-14.1344594071154	-2.34852692181273	-14.162181885352	-13.3858319882143	-9.67224190277271	-9.22287618180048	-14.2600094086985	-7.27578963510082	-14.2110092554701	-13.9500872598199	-5.82441753886462	-7.70771891377844	-14.1319781175193	-14.1497612197407	-14.203093637452	-5.3378963580471	-14.0618271305782	-14.2072299801984	-9.004298610441	-7.34186220008022	-11.3738390665909	-14.2686151708482	-7.46465276108556	-14.2747878391007	-14.2829031238281	-8.87015083382423	-5.66048416667365	-14.1919253178251	-5.71543149462163	-14.0836290503587	-11.5786454305032	-6.6119848378323	-14.2079236370228	-14.047651261994	-2.34881659846802	-8.7276713471142	-9.42494269336753	-7.6314764445392	-14.1547411051289	-10.4654175918916	-10.6102629833073	-5.15915454144192	-13.9413437028146	-14.0335118771984	-14.1297857940061	-14.066668272339	-14.1527869704871	-6.9602134608949	-12.4645736637944	-14.1365398691363	-14.1034162651924	-2.88810699739535	-5.38262388197116	-13.990624531855	-13.9280410306545	-3.15548296839861	-14.2295450352174	-10.2059401369784	-14.0872050995697	-5.76401226598046	-14.2609737265324	-6.16833094957531	-14.1069947521898	-13.6144159380918	-14.158173745199	-14.2288271941611	-14.2395877288277	-14.1645341940811	-14.241852300378	-13.8244997222428	-14.2708653386712	-14.1346781686836	-13.7668031376675
G69153	-14.2378197626559	-4.1299850414177	-14.0085855205264	-14.1344594071154	-6.54953525234528	-3.98502651486212	-13.3858319882143	-4.50022690313648	-11.2891718568087	-3.02927024272323	-14.2183985745901	-5.29577198956087	-13.9500872598199	-13.5927443536324	-7.57105308818137	-14.1319781175193	-14.1497612197407	-6.43129972378574	-10.0890485993133	-13.0618271305782	-5.13393842834188	-14.0932916817353	-14.1976999327422	-5.82843144348517	-5.17760810154871	-14.187320761644	-11.5100523980232	-14.2829031238281	-14.1671981812033	-8.44959590793136	-11.8432921849113	-13.805714644195	-14.0836290503587	-14.0684505689411	-7.82112048833778	-14.2079236370228	-14.047651261994	-14.2562302528615	-10.0598060771902	-14.1244750004078	-14.1982973415806	-14.1547411051289	-14.2397349284951	-14.1190997183192	-14.1775855811384	-13.9413437028146	-14.0335118771984	-14.1297857940061	-14.066668272339	-14.1527869704871	-14.0332497302791	-14.2379581130993	-9.98215793123535	-14.1034162651924	-10.7304915824352	-13.8088547415062	-13.990624531855	-13.9280410306545	-9.75426241856937	-2.19175198165348	-14.0862717063554	-14.0872050995697	-12.1885842728642	-5.0118310374252	-14.0181818654611	-2.68643746461805	-4.3075764723729	-4.39414519732109	-5.118715325608	-5.60841417096193	-6.84255002522623	-7.28117852101349	-7.75416028689279	-10.2658815578992	-14.1346781686836	-13.7668031376675
G69154	-8.04293353343189	-8.00575282459271	-14.0085855205264	-14.1344594071154	-4.24068851821215	-3.91883855551851	-13.3858319882143	-14.0531813946622	-6.78124874460659	-14.2600094086985	-14.2183985745901	-14.2110092554701	-13.9500872598199	-7.86714458319236	-11.1741050205146	-9.8373279540927	-14.1497612197407	-3.91413963682838	-7.14504356257175	-14.0618271305782	-8.82922918017552	-14.0932916817353	-14.1976999327422	-11.9586514466781	-4.50861404629845	-7.81430324229986	-14.2747878391007	-14.2829031238281	-14.1671981812033	-14.2286468676496	-14.1919253178251	-11.4517140228094	-14.0836290503587	-14.0684505689411	-9.04543856367829	-11.3647808932656	-14.047651261994	-14.2562302528615	-14.1990643135679	-14.1244750004078	-14.1982973415806	-14.1547411051289	-14.2397349284951	-14.1190997183192	-14.1775855811384	-4.70477202776254	-14.0335118771984	-14.1297857940061	-14.066668272339	-14.1527869704871	-14.0332497302791	-14.2379581130993	-14.1365398691363	-14.1034162651924	-5.02025895123254	-13.8088547415062	-13.990624531855	-9.33264649407049	-4.58326339245296	-1.50560158353719	-14.0862717063554	-14.0872050995697	-4.70332376897272	-14.2609737265324	-14.0181818654611	-4.30117003765332	-13.6144159380918	-14.158173745199	-6.59835302006009	-14.2395877288277	-4.77811223958261	-14.241852300378	-6.7122799531881	-3.04060412509773	-14.1346781686836	-13.7668031376675
G69155	-8.56194706730914	-14.1686770143251	-14.0085855205264	-14.1344594071154	-10.3410210211147	-10.5681158838706	-13.3858319882143	-6.4523259576189	-14.2622651745162	-1.01743355634565	-5.05401409775517	-14.2110092554701	-13.9500872598199	-13.5927443536324	-5.55839530917046	-14.1319781175193	-4.49864248106373	-10.0388698323084	-6.63076160354052	-5.79199075665808	-4.5914089257763	-14.0932916817353	-14.1976999327422	-4.84226915275204	-2.76596478731061	-14.187320761644	-14.2747878391007	-14.2829031238281	-8.26895595753406	-8.58683861404418	-14.1919253178251	-13.805714644195	-8.5707916714214	-10.0904113595357	-13.6154302515033	-14.2079236370228	-4.63604251129247	-14.2562302528615	-9.76995582722497	-14.1244750004078	-14.1982973415806	-14.1547411051289	-14.2397349284951	-9.09457683395227	-6.41070808639447	-13.9413437028146	-14.0335118771984	-14.1297857940061	-11.0419604398333	-8.06205552909604	-14.0332497302791	-14.2379581130993	-14.1365398691363	-6.05385323800496	-12.2690012221051	-13.8088547415062	-13.990624531855	-10.0746596939297	-4.19300666907139	-10.7284102082794	-14.0862717063554	-8.63888398006602	-14.1835110354742	-14.2609737265324	-14.0181818654611	-14.1069947521898	-13.6144159380918	-14.158173745199	-14.2288271941611	-14.2395877288277	-14.1645341940811	-14.241852300378	-13.8244997222428	-14.2708653386712	-14.1346781686836	-13.7668031376675
G69156	-12.4616336037487	-14.1686770143251	-14.0085855205264	-14.1344594071154	-11.9067224301422	-14.162181885352	-13.3858319882143	-14.0531813946622	-14.2622651745162	-14.2600094086985	-14.2183985745901	-14.2110092554701	-13.9500872598199	-13.5927443536324	-14.1624781887562	-14.1319781175193	-14.1497612197407	-0.708533411573354	-14.2620398102258	-14.0618271305782	-14.2072299801984	-14.0932916817353	-14.1976999327422	-13.7311335468752	-14.2686151708482	-14.187320761644	-14.2747878391007	-14.2829031238281	-14.1671981812033	-14.2286468676496	-14.1919253178251	-13.805714644195	-14.0836290503587	-14.0684505689411	-13.6154302515033	-14.2079236370228	-14.047651261994	-14.2562302528615	-14.1990643135679	-14.1244750004078	-14.1982973415806	-14.1547411051289	-14.2397349284951	-14.1190997183192	-14.1775855811384	-13.9413437028146	-14.0335118771984	-14.1297857940061	-14.066668272339	-14.1527869704871	-14.0332497302791	-14.2379581130993	-14.1365398691363	-14.1034162651924	-13.9741544434437	-13.8088547415062	-13.990624531855	-13.9280410306545	-14.2087056848343	-14.2295450352174	-14.0862717063554	-14.0872050995697	-1.36728371564147	-14.2609737265324	-14.0181818654611	-14.1069947521898	-13.6144159380918	-14.158173745199	-14.2288271941611	-14.2395877288277	-14.1645341940811	-14.241852300378	-13.8244997222428	-14.2708653386712	-14.1346781686836	-13.7668031376675
